cctv_id,latitude,longitude,district,area_name,road_name,camera_status,coverage_radius,installation_date,owner
V00001,28.566229,77.247698,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,15,2024-07-10,Government
V00002,28.680789,77.2954,North-East Delhi,Shahdara,Grand Trunk Road,Active,30,2023-06-05,Government
V00003,28.667609,77.267554,North-East Delhi,Seelampur,Seelampur Main Road,Active,15,2023-10-15,Government
V00004,28.685023,77.266913,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Active,75,2022-07-02,Private
V00005,28.688,77.271505,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,75,2021-04-13,Private
V00006,28.569251,77.248575,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,100,2023-09-23,Private
V00007,28.690148,77.292217,North-East Delhi,Shahdara,Loni Road,Active,100,2024-12-13,Government
V00008,28.525834,77.231487,South Delhi,Saket,Mandir Marg,Active,50,2024-05-30,Private
V00009,28.808648,77.044043,Outer Delhi,Bawana,Auchandi Road,Active,100,2022-03-24,Private
V00010,28.672675,77.297518,North-East Delhi,Shahdara,Chhajjupur Road,Active,75,2023-12-27,Government
V00011,28.564075,77.242575,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Active,15,2024-03-25,Private
V00012,28.693816,77.285696,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,50,2022-12-22,Government
V00013,28.66,77.268772,North-East Delhi,Seelampur,Gautam Puri Road,Active,15,2021-01-30,Government
V00014,28.839302,77.100553,Outer Delhi,Narela,Narela Road,Active,75,2024-10-30,Government
V00015,28.791559,77.026137,Outer Delhi,Bawana,Kanjhawala Road,Active,15,2022-03-01,Government
V00016,28.786985,77.026714,Outer Delhi,Bawana,Bawana Road,Active,30,2021-04-21,Private
V00017,28.788248,77.026128,Outer Delhi,Bawana,Auchandi Road,Active,100,2021-06-04,Government
V00018,28.539328,77.193897,South Delhi,Hauz Khas,Sri Aurobindo Marg,Active,15,2024-07-12,Government
V00019,28.57045,77.254908,South Delhi,Lajpat Nagar,Ring Road,Active,50,2022-10-02,Private
V00020,28.799467,77.029757,Outer Delhi,Bawana,Bawana Road,Inactive,100,2024-05-29,Government
V00021,28.834768,77.097412,Outer Delhi,Narela,Narela Road,Active,15,2025-02-08,Private
V00022,28.793403,77.034129,Outer Delhi,Bawana,Kanjhawala Road,Active,75,2023-08-13,Government
V00023,28.85,77.089227,Outer Delhi,Narela,Narela Road,Active,30,2022-03-04,Government
V00024,28.69496,77.266381,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Active,75,2023-11-29,Government
V00025,28.66873,77.293121,North-East Delhi,Shahdara,Loni Road,Inactive,100,2022-03-04,Government
V00026,28.537878,77.202327,South Delhi,Saket,Press Enclave Marg,Active,50,2021-02-16,Government
V00027,28.663394,77.257544,North-East Delhi,Seelampur,Seelampur Main Road,Active,15,2022-05-04,Government
V00028,28.667587,77.269496,North-East Delhi,Shahdara,Chhajjupur Road,Active,50,2023-10-30,Government
V00029,28.523473,77.214375,South Delhi,Saket,Mandir Marg,Active,100,2022-04-10,Government
V00030,28.682429,77.270102,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Active,50,2021-06-21,Private
V00031,28.85,77.08944,Outer Delhi,Narela,Bawana Road,Active,75,2024-11-18,Private
V00032,28.66,77.288207,North-East Delhi,Shahdara,Chhajjupur Road,Active,30,2021-10-04,Government
V00033,28.564466,77.24343,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,50,2022-11-11,Government
V00034,28.544203,77.213629,South Delhi,Hauz Khas,August Kranti Marg,Active,50,2021-09-12,Private
V00035,28.505457,77.192958,South Delhi,Saket,Saket District Centre Road,Active,75,2021-03-04,Government
V00036,28.675649,77.276171,North-East Delhi,Seelampur,Seelampur Main Road,Active,50,2021-05-18,Government
V00037,28.666941,77.27615,North-East Delhi,Seelampur,Pushta Road,Active,100,2021-07-14,Government
V00038,28.670002,77.285413,North-East Delhi,Shahdara,Loni Road,Active,75,2024-09-21,Government
