crime_id,latitude,longitude,district,area_name,road_name,crime_type,crime_severity,crime_date,crime_time,victim_gender,police_station,risk_score
C00001,28.55506,77.245631,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Vehicle Theft,2,2024-10-14,14:38:28,Female,Police Station Malviya Nagar,15
C00002,28.535936,77.198859,South Delhi,Saket,Press Enclave Marg,Assault,4,2024-08-03,14:49:07,Female,Police Station Malviya Nagar,45
C00003,28.526186,77.21335,South Delhi,Saket,Mandir Marg,Theft,2,2024-10-09,16:29:41,Female,Saket Police Station,30
C00004,28.527417,77.203445,South Delhi,Saket,Press Enclave Marg,Assault,4,2025-06-17,22:22:55,Female,Police Station Malviya Nagar,70
C00005,28.565954,77.244724,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Theft,2,2024-12-25,20:23:18,Female,Police Station Malviya Nagar,40
C00006,28.570544,77.247063,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Harassment,2,2024-12-03,22:22:01,Female,Police Station Malviya Nagar,40
C00007,28.557103,77.220288,South Delhi,Hauz Khas,Sri Aurobindo Marg,Theft,2,2024-09-16,22:51:19,Male,Police Station Malviya Nagar,76
C00008,28.52758,77.213944,South Delhi,Saket,Press Enclave Marg,Chain Snatching,3,2025-05-04,12:53:18,Female,Saket Police Station,30
C00009,28.564521,77.239083,South Delhi,Lajpat Nagar,Ring Road,Robbery,4,2024-12-21,21:39:53,Male,Police Station Malviya Nagar,70
C00010,28.554682,77.23924,South Delhi,Lajpat Nagar,Ring Road,Assault,4,2024-11-27,21:38:40,Male,Police Station Malviya Nagar,85
C00011,28.571928,77.254182,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Burglary,3,2025-01-30,19:04:35,Male,Police Station Malviya Nagar,75
C00012,28.554324,77.18586,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Snatching,3,2024-07-11,01:13:00,Male,Delhi Police — Mehrauli,91
C00013,28.518144,77.201734,South Delhi,Saket,Saket District Centre Road,Harassment,2,2025-06-02,14:20:17,Female,Saket Police Station,30
C00014,28.533281,77.207513,South Delhi,Hauz Khas,August Kranti Marg,Robbery,4,2025-03-07,12:15:53,Male,Police Station Malviya Nagar,71
C00015,28.538383,77.200979,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Burglary,3,2024-12-02,20:11:51,Female,Police Station Malviya Nagar,56
C00016,28.565262,77.246962,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Vehicle Theft,2,2024-12-20,09:26:12,Male,Police Station Malviya Nagar,15
C00017,28.567189,77.24682,South Delhi,Lajpat Nagar,Ring Road,Snatching,3,2025-04-30,08:39:02,Male,Police Station Malviya Nagar,30
C00018,28.571084,77.241286,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Robbery,4,2024-09-20,20:23:33,Female,Police Station Malviya Nagar,70
