light_id,latitude,longitude,district,area_name,road_name,light_status,brightness_level,installation_date,last_maintenance
L00001,28.715461,77.113577,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Faulty,7,2021-04-27,2026-07-02
L00002,28.797224,77.039896,Outer Delhi,Bawana,Auchandi Road,Working,83,2020-12-11,2026-05-19
L00003,28.524187,77.214223,South Delhi,Hauz Khas,August Kranti Marg,Working,83,2021-05-20,2026-06-22
L00004,28.85,77.107231,Outer Delhi,Narela,Narela Road,Working,79,2021-06-11,2026-02-20
L00005,28.85,77.085182,Outer Delhi,Narela,Narela Road,Working,94,2022-11-18,2026-07-09
L00006,28.520162,77.208892,South Delhi,Saket,Press Enclave Marg,Working,88,2021-07-04,2026-04-02
L00007,28.548144,77.196411,South Delhi,Hauz Khas,Sri Aurobindo Marg,Working,86,2024-10-26,2026-06-19
L00008,28.724102,77.119197,Outer Delhi,Rohini,Outer Ring Road,Working,84,2022-11-10,2026-02-18
L00009,28.804697,77.044495,Outer Delhi,Bawana,Auchandi Road,Working,81,2021-10-11,2026-05-26
L00010,28.66,77.270879,North-East Delhi,Seelampur,Gautam Puri Road,Working,88,2021-07-13,2026-01-15
L00011,28.792735,77.031305,Outer Delhi,Bawana,Auchandi Road,Working,89,2022-01-06,2026-06-02
L00012,28.723527,77.112309,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Working,95,2023-05-29,2026-06-25
L00013,28.521692,77.211359,South Delhi,Saket,Mandir Marg,Working,72,2022-05-18,2026-06-07
L00014,28.705528,77.265801,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Working,98,2022-02-08,2026-06-08
L00015,28.684672,77.282518,North-East Delhi,Shahdara,Chhajjupur Road,Working,71,2022-11-21,2026-06-29
L00016,28.66884,77.276212,North-East Delhi,Seelampur,Seelampur Main Road,Working,76,2020-11-01,2026-06-24
L00017,28.669317,77.263159,North-East Delhi,Seelampur,Pushta Road,Working,82,2023-08-03,2026-05-19
L00018,28.661076,77.272179,North-East Delhi,Seelampur,Seelampur Main Road,Working,76,2023-12-05,2026-05-28
L00019,28.564121,77.247854,South Delhi,Lajpat Nagar,Ring Road,Working,82,2021-07-02,2026-05-27
L00020,28.712102,77.278434,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,87,2023-09-21,2026-05-05
L00021,28.549562,77.219014,South Delhi,Hauz Khas,August Kranti Marg,Working,70,2021-10-24,2026-04-15
L00022,28.799789,77.021417,Outer Delhi,Bawana,Bawana Road,Working,70,2022-10-17,2026-03-13
L00023,28.690772,77.258012,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,89,2020-06-26,2026-02-07
L00024,28.826967,77.09278,Outer Delhi,Narela,Bawana Road,Working,79,2020-05-31,2026-03-03
L00025,28.706793,77.275581,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,89,2024-03-02,2026-01-14
L00026,28.543987,77.206424,South Delhi,Hauz Khas,August Kranti Marg,Working,91,2022-01-28,2026-06-11
L00027,28.704308,77.275819,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,90,2023-03-01,2026-03-23
L00028,28.826509,77.084836,Outer Delhi,Narela,Lampur Road,Faulty,20,2022-04-20,2026-01-26
L00029,28.523915,77.205733,South Delhi,Saket,Saket District Centre Road,Working,89,2022-01-31,2026-01-23
L00030,28.673817,77.278019,North-East Delhi,Shahdara,Loni Road,Working,99,2024-02-24,2026-01-11
L00031,28.802537,77.02209,Outer Delhi,Bawana,Auchandi Road,Working,76,2023-08-12,2026-02-23
L00032,28.707828,77.285639,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,100,2020-05-11,2026-03-12
L00033,28.835067,77.084021,Outer Delhi,Narela,Lampur Road,Working,90,2023-11-08,2026-06-22
L00034,28.825504,77.097624,Outer Delhi,Narela,Lampur Road,Working,73,2024-07-31,2026-06-26
L00035,28.527252,77.195049,South Delhi,Saket,Mandir Marg,Working,79,2023-03-11,2026-04-07
L00036,28.521427,77.202721,South Delhi,Saket,Mandir Marg,Working,94,2024-12-05,2026-06-15
L00037,28.73095,77.114834,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Working,91,2022-11-02,2026-02-20
L00038,28.66,77.271613,North-East Delhi,Seelampur,Gautam Puri Road,Working,72,2021-04-14,2026-06-20
